str,en_US,ru_RU,zh_TW
about.set.4,"add, remove players","добавлять, удалять игроков",添加，删除玩家
about.set.5,change player stacks,менять стеки игроков,更改播放器堆栈
about.set.6,"you can change the dealer, etc",вы можете сменить дилера и т.д,您可以更改经销商等
about.set.7,During the betting:,Во время ставок:,投注期间:
about.set.8,change the initial smallblind,изменить начальный малый блайнд,改变初始小盲
about.set.9,change the description and player\'s avatar,изменить имя и аватар игрока,更改描述和玩家的头像
about.tab.1,Game table,Игровой стол,游戏桌
about.tab.2,"At the top of the screen, you can change the player's position at the game table.",В верхней части экрана вы можете изменить положение игрока за игровым столом.,在屏幕的顶部，您可以更改玩家在游戏桌上的位置。
about.tab.3,The amount of your bet or raise can be selected using the slider or by clicking on chips.,Размер вашей ставки или рейза можно выбрать с помощью ползунка или нажав на фишки.,您的赌注或提高的金额可以选择使用滑块或点击芯片。
about.tab.4,After showdown (end of betting) you need to choose a winner or winners.,После вскрытия (окончания ставок) вам необходимо выбрать победителя или победителей.,摊牌后（投注结束），你需要选择一个或多个赢家。
about.tab.5,"If side pots were created in the game (someone went ALL-in), then first choose the winner of the main pot.","Если в игре были созданы побочные банки (кто-то пошел олл-ин), то сначала выберите победителя основного банка.",如果在游戏中创建了侧锅（有人全押），那么首先选择主锅的赢家。
about.link.1,Links,Полезные ссылки,连结
about.link.2,Like my app? Rate it and leave a comment! Don't forget share with friends!,Нравится мое приложение? Оцените его и оставьте комментарий! Не забудьте поделиться с друзьями!,喜欢我的应用程序？ 评价它并留下评论! 不要忘记与朋友分享！
about.link.3,Rate app,Оценить,费率应用
about.link.4,You can also support me if you want. See the methods on the home screen.,"Вы также можете поддержать меня, если хотите. Смотрите способы во вкладке на главном экране.",如果你愿意，你也可以支持我。 请参阅主屏幕上的方法。
about.link.5,Have a problem with app or want to ask questions? Send feedback and features request:,"У вас проблемы с приложением, хотите задать вопрос? Отправить отзыв или совет:",有应用程序的问题或想问问题？ 发送反馈和功能请求:
about.link.6,In attachments there is file with app's logs...,Во вложениях есть файл с логами приложения...,在附件中有一个包含应用程序日志的文件。..
about.link.7,Privacy policy,Политика конфиденциальности,私隐政策
playp.tittle,Lobby Menu,Меню игроков,大堂菜单
playp.rest,Restore,Сбросить,还原
playp.init,Starting Stack:,Начальный стек:,启动堆栈:
playp.add,Add New Player,Добавить нового игрока,添加新播放器
playp.bank.title,Enter new starting stacks:,Введите новые стеки:,输入新的起始堆栈:
playp.sp.title1,Saved Players,Сохраненные игроки,被拯救的球员
playp.sp.title2,Players list is empty,Список игроков пуст,玩家列表为空
playp.playr.diss1,Add to lobby,Добавить в лобби,添加到大堂
playp.playr.diss2,Save Player,Сохранить игрока,保存播放器
playp.playr.diss3,Unsave Player,Удалить игрока,无保存播放器
playp.playr.diss4,Delete Player,Удалить игрока,删除播放器
playp.edit.title1,New player,Новый игрок,新玩家
playp.edit.title2,Player menu,Меню игрока,播放器菜单
playp.edit.win1,Name,Имя,姓名
playp.edit.win2,Starting stack,Стартовый стек,启动堆栈
playp.edit.win3,Make a dealer,Сделать дилером,做一个经销商
playp.bank.conf,Enter,Подтвердить,进入
playp.edit.conf,Save,Сохранить,储蓄
playp.edit.add,Add,Добавить,添加
playp.start,Start Game,Начать игру,开始游戏
playp.set,Settings,Настройки,设置
sett.title,Game Settings,Настройки игры,游戏设置
sett.win1,Starting Stack,Начальный стек,启动堆栈
sett.win2,Small Blind,Малый блайнд,小盲
sett.win3,Big Blind,Большой блайнд,大瞎子
sett.conf,Save Changes,Сохранить,保存更改
game.welc,Welcome to New Game!,Добро пожаловать!,欢迎来到新游戏！
game.turn1,Turn,Ход,转
game.turn2,of,,的
game.shdw,Showdown,Вскрытие,摊牌
game.break,Breaktime,Перерыв,休息时间
game.pflop,Pre-Flop,Префлоп,翻牌前
game.flop,Flop,Флоп,"翻牌,翻牌"
game.turn,Turn,Терн,转
game.river,River,Ривер,河川
game.fold,Fold,Фолд,折叠
game.check,Check,Чек,支票
game.call,Call,Колл,打电话
game.all,All in,Ва-банк,全部在
game.bet,Bet,Ставка,打赌
game.raise,Raise,Повысить,加薪
game.raise.canc,Cancel,Отмена,取消
game.win1,winner,победитель,胜利者
game.win2,is winner!,победитель!,是赢家！
game.win3,Select the winners,Выберите победителей,选择优胜者
game.win.conf,Enter,Подтвердить,进入
game.win4,Select side-pot winner,Выберите победителя сайд-пота,选择边锅赢家
game.start,Start Betting,Начать торги,开始投注
toast.thanks,Thank you!,Спасибо!,谢谢！
toast.moreplay,You need more active players to play,"Нужно больше активных игроков, чтобы играть",你需要更多活跃的玩家来玩
toast.winn,Сhoose one or more winners,Выберите одного или нескольких победителей,选择一个或多个获奖者
toast.saved,saved!,сохранен!,得救了！
toast.maxpl,Max players count,Максимальное количество игроков,最大玩家数
toast.alred,already in lobby!,уже в лобби!,已经在大厅了！
toast.moreplay2,You cant play without players,Вы не можете начать игру без игроков,没有球员你就不能打球
toast.bank1,We recommend a value for the stack at least big blind,Рекомендуем значение стека не менее большого блайнда,我们建议堆栈至少有一个大盲值
toast.bank2,In your case,В вашем случае,在你的情况下
toast.alred2,Player with same name and icon already exist,Игрок с таким же именем и аватаром уже существует,具有相同名称和图标的播放器已经存在
toast.bank3,The stack cannot be zero,Стек не может быть равен нулю,堆栈不能为零
toast.bank4,We recommend a Big Blind value less than Stack,Рекомендуем использовать значение большого блайнда меньше стека,我们建议使用小于Stack的大盲值
toast.unav,Unavailible now,Недоступно,现在不可避免
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
